Time,Target,Measured,Error
659,20.00,23.58,-3.58
660,20.00,21.00,-1.00
661,20.00,24.31,-4.31
662,20.00,19.52,0.48
663,20.00,22.10,-2.10
664,20.00,19.89,0.11
665,20.00,19.16,0.84
666,20.00,22.84,-2.84
667,20.00,21.00,-1.00
668,20.00,25.05,-5.05
669,20.00,23.58,-3.58
670,20.00,19.89,0.11
671,20.00,19.16,0.84
672,20.00,18.42,1.58
673,20.00,16.95,3.05
674,20.00,15.47,4.53
675,20.00,17.31,2.69
676,20.00,19.89,0.11
677,20.00,19.52,0.48
678,20.00,19.89,0.11
679,20.00,18.42,1.58
680,20.00,17.31,2.69
681,20.00,16.21,3.79
682,20.00,15.84,4.16
684,20.00,16.21,3.79
685,20.00,16.95,3.05
686,20.00,21.74,-1.74
687,20.00,22.47,-2.47
688,20.00,23.58,-3.58
689,20.00,25.05,-5.05
690,20.00,22.47,-2.47
691,20.00,23.21,-3.21
692,20.00,20.26,-0.26
693,20.00,22.84,-2.84
694,20.00,20.63,-0.63
695,20.00,21.00,-1.00
696,20.00,24.31,-4.31
697,20.00,22.84,-2.84
698,20.00,24.68,-4.68
699,20.00,19.52,0.48
700,20.00,19.16,0.84
701,20.00,18.79,1.21
702,20.00,16.21,3.79
703,20.00,19.16,0.84
704,20.00,19.16,0.84
705,20.00,21.37,-1.37
706,20.00,21.37,-1.37
707,20.00,19.52,0.48
709,20.00,19.16,0.84
710,20.00,15.84,4.16
711,20.00,17.68,2.32
712,20.00,18.42,1.58
713,20.00,16.58,3.42
714,20.00,21.74,-1.74
715,20.00,22.47,-2.47
716,20.00,26.52,-6.52
717,20.00,23.21,-3.21
718,20.00,23.21,-3.21
719,20.00,21.74,-1.74
720,20.00,20.63,-0.63
721,20.00,19.89,0.11
722,20.00,19.16,0.84
723,20.00,23.21,-3.21
724,20.00,25.05,-5.05
725,20.00,22.84,-2.84
726,20.00,24.68,-4.68
727,20.00,19.89,0.11
728,20.00,18.79,1.21
729,20.00,17.68,2.32
730,20.00,16.95,3.05
731,20.00,17.31,2.69
732,20.00,17.68,2.32
733,20.00,22.47,-2.47
735,20.00,20.26,-0.26
736,20.00,23.21,-3.21
737,20.00,19.89,0.11
738,20.00,16.58,3.42
739,20.00,17.68,2.32
740,20.00,14.74,5.26
741,20.00,17.68,2.32
742,20.00,16.58,3.42
743,20.00,21.00,-1.00
744,20.00,22.47,-2.47
